figure_id,panel_id,relative_path,rows,columns,bytes,evidence_level,model_layer,source_file,source_table,data_status,notes
Candidate 693168,Chen_boundaries,results/figure_source_data_package/candidate_693168/Chen_boundaries_fine.csv,1,19,727,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_T2_window_boundaries_fine.csv,fine boundary summary,available,Both boundaries bracketed.
Candidate 693168,closed_accommodation,results/figure_source_data_package/candidate_693168/closed_accommodation_histories.csv,2916,25,2038946,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,available,"Named model diagnostics; work channels are model proxies, not absolute energies."
Candidate 693168,pore_store,results/figure_source_data_package/candidate_693168/pore_store_histories.csv,2916,36,2373448,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,available,"Named model diagnostics; work channels are model proxies, not absolute energies."
Candidate 693168,PR_partition,results/figure_source_data_package/candidate_693168/PR_energy_partition_histories.csv,2916,26,1656638,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,named saved diagnostic channels,available,"Named model diagnostics; work channels are model proxies, not absolute energies."
Candidate 693168,ablations,results/figure_source_data_package/candidate_693168/ablation_summary.csv,12,34,7944,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_ablation_audit.csv,exact ablation audit,available,"Frozen causal audit; conditional Tier B, not validation."
Candidate 693168,robustness,results/figure_source_data_package/candidate_693168/extended_robustness.csv,30,21,15225,exact,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/candidate_693168_extended_robustness.csv,bounded robustness audit,available,Existing bounded cases only.
Candidate 693168,fast_preservation,results/figure_source_data_package/candidate_693168/fast_firing_preservation.csv,6,18,4388,exact,fast_firing_material,results/audit_candidate_693168_closed_accommodation/fast_firing_preservation_audit.csv,frozen E0021/E0142 preservation audit,available,Two-step topology layer does not modify shared-state material densification.
Candidate 693168,missing_channels,results/figure_source_data_package/candidate_693168/missing_candidate_693168_channels.csv,9,14,5511,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,schema comparison,available,Closed-accommodation is an implemented bounded proxy; no gas law or hidden closed-pore Lambda/K law is asserted.
Figure 5,T1_T2,results/figure_source_data_package/chen_maps/chen_map_T1_T2_classification.csv,779,43,626963,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,available,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.
Figure 5,G1_T2,results/figure_source_data_package/chen_maps/chen_map_G1_T2_classification.csv,10920,43,8754605,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_G1_T2_classification.csv,filled exact publication map,available,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.
Figure 5,switch_density_T2,results/figure_source_data_package/chen_maps/chen_map_switch_density_T2_classification.csv,1120,43,941347,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_switch_density_T2_classification.csv,filled exact publication map,available,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.
Figure 5,map_dictionary,results/figure_source_data_package/chen_maps/chen_map_plot_dictionary.csv,7,14,2949,diagnostic,candidate_693168_audit,docs/PUBLICATION_STYLE_SINTERING_FIGURES_693168.md,Chen map definitions,available,External plotting dictionary.
Figure 7,counts,results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_vs_exact_counts.csv,3,15,1548,diagnostic,final_synthesis,results/final_mechanism_synthesis_and_property_windows/source_tables/surrogate_vs_exact_comparison.csv,saved screening/exact counts,available,Surrogate rows are not final evidence.
Figure 7,confusion,results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_confusion.csv,13,16,7356,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_scorecard.csv; material_property_window_exact_promotions.csv,exact-union confusion matrix,available,Only promoted rows have an exact class; screening is not treated as evidence.
Figure 7,phase_points,results/figure_source_data_package/figure_07_surrogate_vs_exact/surrogate_exact_phase_points.csv,1903,50,1542195,diagnostic,final_synthesis,results/relative_material_property_window_attribution/source_tables/material_property_window_exact_promotions.csv,exact promoted union with saved screening axes,available,"Exact-promoted points only; surrogate values are labels/axes, not final evidence."
Figure 8,targets,results/figure_source_data_package/figure_08_experimental_falsification/falsification_targets.csv,9,21,5851,schematic,final_synthesis,docs/EXPERIMENTAL_CALIBRATION_PLAN.md,calibration priorities,available,Experimental design guidance; not simulated evidence.
Figure 8,measurement_map,results/figure_source_data_package/figure_08_experimental_falsification/measurement_to_mechanism_map.csv,9,16,5030,schematic,final_synthesis,docs/EXPERIMENTAL_CALIBRATION_PLAN.md,measurement-mechanism mapping,available,Direct measurement-to-model mapping.
Figure 8,priorities,results/figure_source_data_package/figure_08_experimental_falsification/calibration_priority_table.csv,9,22,5854,schematic,final_synthesis,docs/EXPERIMENTAL_CALIBRATION_PLAN.md,ordered calibration plan,available,Priority ordering only; no validation claim.
Supplement,equation_labels,results/figure_source_data_package/supplement/equation_label_map.csv,165,20,90916,diagnostic,equation_audit,results/equation_functional_form_audit/equation_registry.csv,QC equation/variable registry,available,Labels derive from audited definitions; proxy quantities retain proxy units/status.
Supplement,axis_labels,results/figure_source_data_package/supplement/variable_axis_label_map.csv,165,20,84976,diagnostic,equation_audit,results/equation_functional_form_audit/variable_definitions.csv; parameter_definitions.csv,QC definitions,available,Consistent external plotting labels.
Supplement,units,results/figure_source_data_package/supplement/units_map.csv,165,14,64894,diagnostic,equation_audit,results/equation_functional_form_audit/variable_definitions.csv; parameter_definitions.csv,QC units,available,Dimensionless/proxy status preserved.
