equation_id,equation_name,source_file,source_function,source_line,code_excerpt,branches_results_using_it,evidence_role
TJ-01,Persistent-junction production,agentic_mechanism_model.py,local_mechanism,71,production=(p.XJ_prod_TJ*top['C_TJ']*d['rho_dot']+p.XJ_prod_relocation*(capture+reloc)+p.XJ_prod_sweep*sweep)*(1-s.X_J/p.XJ_capacity) if persistent else 0.,persistent-junction Chen families,negative_control
TJ-02,Junction relaxation,agentic_mechanism_model.py,local_mechanism,72,"tau=p.tau_J_ref_s*math.exp(float(np.clip(p.Q_relax_J_mol/R*(1/T-1/Tr),-50,50)))",persistent-junction Chen families,negative_control
TJ-03,Persistent drag,agentic_mechanism_model.py,local_mechanism,75,"Rpersistent=p.A_J*max(s.X_J,0)*size if persistent else 0.",persistent-junction Chen families,negative_control
TJ-04,Required TJ packet count,agentic_mechanism_model.py,local_mechanism,77,"K=p.K_TJ0*(max(s.pore.G,1e-30)/p.packet_G_ref)**q",q0/q1 multihit families,negative_control
TJ-05,Pore/structural constraint split,agentic_mechanism_model.py,local_mechanism,84,"C_relaxed=p.eta_TJ_pore_relax*C_pore;C_pinned=min(p.eta_TJ_pore_pin,1-p.eta_TJ_pore_relax)*C_pore;C_constraint=C_structural+max(1-p.eta_TJ_pore_relax-p.eta_TJ_pore_pin,0)*C_pore",TJ constraint ablations,negative_control
TJ-06,Expected TJ events,agentic_mechanism_model.py,local_mechanism,87,"Lambda=p.lambda_TJ_ref*available*thermal*(p.packet_G_ref/max(s.pore.G,1e-30))",TJ multihit families,negative_control
TJ-07,Poisson completion,agentic_mechanism_model.py,poisson_completion,63,"return float(np.clip(1-cdf,0,1))",TJ multihit families,negative_control
TJ-08,Coupled TJ mobility,agentic_mechanism_model.py,local_mechanism,91,mobility_multiplier=gamma/(1+Rpersistent+R_pore);Gdot=oldG*mobility_multiplier,persistent+multihit families,negative_control
LR-01,Four-store density identity,interacting_local_region_model.py,advance,264,s.rho = 1.0 - (s.phi_GBseg + s.phi_TJ + s.phi_iso + s.phi_closed),decoder-corrected local-region; 693168,final_evidence
LR-02,Local activity proxy,interacting_local_region_model.py,local_fluxes,127,base_activity = sigmoid((T_C - 1180.0) / 70.0),candidate 693168,implemented_proxy
LR-03,Open-pore shrinkage,interacting_local_region_model.py,local_fluxes,130,open_flux = (,candidate 693168,final_evidence
LR-04,Closed-radius proxy,interacting_local_region_model.py,local_fluxes,135,radius_proxy = np.clip(,candidate 693168,implemented_proxy
LR-05,Closed-pore shrinkage,interacting_local_region_model.py,local_fluxes,139,closed_flux = (,candidate 693168 high-density support,final_evidence
LR-06,Local PR damage,interacting_local_region_model.py,local_fluxes,147,"pr = p[""k_PR""] * _thermal(T_C, p[""Q_PR""]) * low_activity * s.phi_GBseg",candidate 693168 preparation,final_evidence
LR-07,Conservative PR store partition,interacting_local_region_model.py,advance,208,"s.phi_GBseg += (p[""PR_damaged""] + p[""PR_large""]) * pr + .70 * sweep",candidate 693168 preparation,final_evidence
LR-08,Conservative closed transition,interacting_local_region_model.py,local_fluxes,151,"close_transition = p.get(""closed_transition"", 0.0) * _thermal(T_C, p[""Q_closed""]) * close_source * np.clip(s.rho, 0, 1) ** 3",candidate 693168 lower boundary,final_evidence
LR-09,Local TJ completion proxy,interacting_local_region_model.py,local_fluxes,158,P_comp = sigmoid((lambda_eff - K_eff) / np.sqrt(lambda_eff + K_eff + 1e-12)),candidate 693168 secondary migration,implemented_proxy
LR-10,Local migration/growth,interacting_local_region_model.py,local_fluxes,165,"migration_factor = np.clip(P_comp / (1.0 + np.maximum(drag, 0.0)), 0.0, 1.0)",candidate 693168 upper boundary,final_evidence
LR-11,Closed accommodation update,interacting_local_region_model.py,advance,259,s.closed_accommodation += cap_relax * (cap - s.closed_accommodation),candidate 693168 lower boundary,final_evidence
LR-12,Inverse-size exact growth step,interacting_local_region_model.py,advance,263,"s.G = np.sqrt(np.maximum(s.G * s.G + 2.0 * s.G * f[""G_dot""] * dt, 1.0))",candidate 693168 integration,final_evidence
MET-01,Matched-density interpolation,observable_trajectory_effect_audit.py,matched_curve,60,"gr = np.interp(grid, xr, yr); gc = np.interp(grid, xc, yc)",fast and two-step trajectory audits,final_evidence_metric
MET-02,Fast-firing ratio and rule,relative_material_property_window_search.py,fast_metric,189,"return dict(attained=True,max_ratio=float(ratio.max()),median_ratio=float(np.median(ratio)),span=span,passed=bool(ratio.max()>=FAST_RATIO and span>=FAST_SPAN),numerical_censored=False)",1000 exact fast promotions,final_evidence_metric
MET-03,Second-step growth fraction,audit_candidate_693168_closed_accommodation.py,classify,272,"growth = float(frame.G_mean_nm.iloc[-1]) / max(G1, 1e-30) - 1.0",candidate 693168 Chen map,final_evidence_metric
MET-04,Chen point classification,audit_candidate_693168_closed_accommodation.py,classify,273,if attained and growth <= GROWTH_TOLERANCE:,candidate 693168 Chen map,final_evidence_metric
MET-05,Complete Chen window,adaptive_T2_boundary_search.py,status,52,else:label='COMPLETE_WINDOW',dynamic/production Chen windows,final_evidence_metric
MET-06,Two-step matched-density reduction,audit_candidate_693168_closed_accommodation.py,score_histories,384,"**boundary, median_reduction=score[""median_reduction""],",candidate 693168 trajectory,final_evidence_metric
PROP-01,Activation-energy perturbation,relative_material_property_window_search.py,apply_fast,169,"kw.update(Q_disconnection_nucleation=material[""Q_disconnection_nucleation""]+row[""Q_nuc_delta_kJ""]*1000,",relative-property exact promotion,final_evidence_metric
PROP-02,Prefactor perturbation,relative_material_property_window_search.py,design,34,"FACTORS=np.array((.03,.1,.3,1.,3.,10.,30.))",relative-property exact promotion,final_evidence_metric
PROP-03,Latin-hypercube design,relative_material_property_window_search.py,design,101,"for j in range(d):u[:,j]=(rng.permutation(n)+rng.random(n))/n",50000-row screen,screening_only
PROP-04,Nucleation dominance,mechanism_dimensionless_groups.py,fast_groups,30,"theta=tau_nuc/np.maximum(tau_exchange+tau_transport,1e-300)",screen and exact-success summary,diagnostic_only
PROP-05,Closed/growth selectivity,mechanism_dimensionless_groups.py,two_step_groups,67,"selectivity=kc/np.maximum(kg,1e-300)",screen and exact-success summary,diagnostic_only
PROP-06,Surrogate fast score,relative_material_property_window_search.py,screen,131,"Rfast=np.clip(1+.796162*delta**.65*theta_rel**.12,.5,10)",50655-row screen,screening_only
PROP-07,Surrogate two-step score,relative_material_property_window_search.py,screen,143,"logit=math.log(.881277/(1-.881277))+0.8*np.log(np.maximum(tg[""selectivity_relative""],1e-30))+0.15*np.log(np.maximum(tg[""PR_preparation_relative""],1e-30))",50655-row screen,screening_only
PROP-08,Exact joint classification,relative_material_property_window_search.py,main,338,"promotions[""classification_exact""]=np.select([fp&tp,fp,tp],",1903 unique exact-promoted rows,final_evidence_metric
NC-01,Nonnegative dissipation partition,topology_constrained_sintering.py,solve_dissipation_partition,258,"q={n:max(f.power,0)*max(compat.get(n,1),0) for n,f in mechanisms.items()}; total=sum(q.values())",aggregate architecture,superseded
NC-02,Aggregate smoothing redistribution,topology_constrained_sintering.py,surface_smoothing_redistribution,244,"J=p.smoothing_rate_s*window*inactive*pre_densification*np.maximum(s.pore_phi[:-1],0)*fine",aggregate memory negative control,superseded
NC-03,Density efficiency,topology_constrained_sintering.py,run,283,"vals={'t':s.t,'T_C':T,'rho':s.rho,'G':s.G,'smoothing_gate_value':smoothing_topology_gate(s,p),**growth_mobility_diagnostics(s,T,p),'junction_drag_power':m['clean_GB_migration'].diagnostics['junction_drag_power'],'topology_damage':s.topology_damage,'topology_damage_rate':damage_rate,'cumulative_redistributed_pore_volume':s.cumulative_redistributed_pore_volume,**pore_distribution_diagnostics(s.pore_phi,s.pore_radii,p),**vars(s.topology),**vars(s.stress),**k,'rho_dot':f.rho_dot,'dGdt':f.G_dot,'E_G'",cross-model diagnostic,diagnostic_only
