case_id,late_stage_mode,rho_close_mid,rho_close_width,k_closed_level,Q_closed_kJ_mol,q_closed,gas_pressure_ratio,residual_stress_coupling,pore_detachment_level,G0_nm,rho0,initial_topology,peak_T_C,hold_h,fast_rate_C_min
LS019,combined_late_stage,0.92,0.01,low,500.0,2.0,0.25,assist_shrinkage,medium,75.0,0.65,baseline,1450.0,8.0,50.0
LS020,disabled,0.94,0.01,medium,500.0,2.0,0.25,assist_shrinkage,medium,100.0,0.7,GBseg_rich,1450.0,8.0,50.0
LS021,closed_pore_vacancy_transport,0.9,0.02,medium,600.0,2.0,0.25,assist_shrinkage,medium,150.0,0.7,GBseg_rich,1450.0,8.0,50.0
LS022,gas_limited_closed_pore,0.92,0.02,medium,600.0,3.0,0.25,assist_shrinkage,medium,225.0,0.75,GBseg_rich,1450.0,8.0,50.0
LS023,pore_detachment_and_closure,0.94,0.02,medium,600.0,3.0,0.25,assist_shrinkage,medium,300.0,0.75,GBseg_rich,1450.0,8.0,50.0
LS024,combined_late_stage,0.9,0.03,medium,600.0,3.0,0.25,assist_shrinkage,medium,50.0,0.65,TJ_rich,1500.0,8.0,100.0
LS025,disabled,0.92,0.03,high,600.0,3.0,0.25,assist_shrinkage,medium,75.0,0.65,TJ_rich,1500.0,8.0,100.0
LS026,closed_pore_vacancy_transport,0.94,0.03,high,600.0,3.0,0.5,assist_shrinkage,medium,100.0,0.7,TJ_rich,1500.0,8.0,100.0
LS027,gas_limited_closed_pore,0.9,0.01,high,600.0,3.0,0.5,assist_shrinkage,medium,150.0,0.7,TJ_rich,1500.0,20.0,100.0
LS028,pore_detachment_and_closure,0.92,0.01,high,300.0,3.0,0.5,assist_shrinkage,medium,225.0,0.75,mixed_GBseg_TJ,1500.0,20.0,100.0
LS029,combined_late_stage,0.94,0.01,high,300.0,3.0,0.5,assist_shrinkage,medium,300.0,0.75,mixed_GBseg_TJ,1500.0,20.0,100.0
LS030,disabled,0.9,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,50.0,0.65,mixed_GBseg_TJ,1300.0,20.0,100.0
LS031,closed_pore_vacancy_transport,0.92,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,75.0,0.65,mixed_GBseg_TJ,1300.0,20.0,100.0
LS032,gas_limited_closed_pore,0.94,0.02,low,300.0,3.0,0.5,assist_shrinkage,medium,100.0,0.7,baseline,1300.0,20.0,5.0
LS033,pore_detachment_and_closure,0.9,0.03,low,300.0,1.0,0.5,assist_shrinkage,medium,150.0,0.7,baseline,1300.0,20.0,5.0
LS034,combined_late_stage,0.92,0.03,low,300.0,1.0,0.5,oppose_or_crack_like,medium,225.0,0.75,baseline,1300.0,20.0,5.0
LS035,disabled,0.94,0.03,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,300.0,0.75,baseline,1300.0,20.0,5.0
LS036,closed_pore_vacancy_transport,0.9,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,50.0,0.65,GBseg_rich,1350.0,48.0,5.0
LS037,gas_limited_closed_pore,0.92,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,medium,75.0,0.65,GBseg_rich,1350.0,48.0,5.0
LS038,pore_detachment_and_closure,0.94,0.01,medium,400.0,1.0,0.5,oppose_or_crack_like,high,100.0,0.7,GBseg_rich,1350.0,48.0,5.0
LS039,combined_late_stage,0.9,0.02,medium,400.0,1.0,0.75,oppose_or_crack_like,high,150.0,0.7,GBseg_rich,1350.0,48.0,5.0
LS040,disabled,0.92,0.02,high,400.0,1.0,0.75,oppose_or_crack_like,high,225.0,0.75,TJ_rich,1350.0,48.0,20.0
LS041,closed_pore_vacancy_transport,0.94,0.02,high,400.0,1.0,0.75,oppose_or_crack_like,high,300.0,0.75,TJ_rich,1350.0,48.0,20.0
LS042,gas_limited_closed_pore,0.9,0.03,high,500.0,1.0,0.75,oppose_or_crack_like,high,50.0,0.65,TJ_rich,1400.0,48.0,20.0
LS043,pore_detachment_and_closure,0.92,0.03,high,500.0,1.0,0.75,oppose_or_crack_like,high,75.0,0.65,TJ_rich,1400.0,48.0,20.0
LS044,combined_late_stage,0.94,0.03,high,500.0,2.0,0.75,oppose_or_crack_like,high,100.0,0.7,mixed_GBseg_TJ,1400.0,48.0,20.0
LS045,disabled,0.9,0.01,low,500.0,2.0,0.75,oppose_or_crack_like,high,150.0,0.7,mixed_GBseg_TJ,1400.0,0.0,20.0
LS046,closed_pore_vacancy_transport,0.92,0.01,low,500.0,2.0,0.75,oppose_or_crack_like,high,225.0,0.75,mixed_GBseg_TJ,1400.0,0.0,20.0
LS047,gas_limited_closed_pore,0.94,0.01,low,500.0,2.0,0.75,oppose_or_crack_like,high,300.0,0.75,mixed_GBseg_TJ,1400.0,0.0,20.0
LS048,pore_detachment_and_closure,0.9,0.02,low,500.0,2.0,0.75,oppose_or_crack_like,high,50.0,0.65,baseline,1450.0,0.0,50.0
LS049,combined_late_stage,0.92,0.02,low,600.0,2.0,0.75,oppose_or_crack_like,high,75.0,0.65,baseline,1450.0,0.0,50.0
LS050,disabled,0.94,0.02,medium,600.0,2.0,0.75,oppose_or_crack_like,high,100.0,0.7,baseline,1450.0,0.0,50.0
LS051,closed_pore_vacancy_transport,0.9,0.03,medium,600.0,2.0,0.75,mixed_signed,high,150.0,0.7,baseline,1450.0,0.0,50.0
LS052,gas_limited_closed_pore,0.92,0.03,medium,600.0,2.0,1.0,mixed_signed,high,225.0,0.75,GBseg_rich,1450.0,0.0,50.0
LS053,pore_detachment_and_closure,0.94,0.03,medium,600.0,2.0,1.0,mixed_signed,high,300.0,0.75,GBseg_rich,1450.0,0.0,50.0
LS054,combined_late_stage,0.9,0.01,medium,600.0,2.0,1.0,mixed_signed,high,50.0,0.65,GBseg_rich,1500.0,2.0,50.0
LS055,disabled,0.92,0.01,high,600.0,3.0,1.0,mixed_signed,high,75.0,0.65,GBseg_rich,1500.0,2.0,50.0
LS056,closed_pore_vacancy_transport,0.94,0.01,high,300.0,3.0,1.0,mixed_signed,high,100.0,0.7,TJ_rich,1500.0,2.0,100.0
LS057,gas_limited_closed_pore,0.9,0.02,high,300.0,3.0,1.0,mixed_signed,low,150.0,0.7,TJ_rich,1500.0,2.0,100.0
LS058,pore_detachment_and_closure,0.92,0.02,high,300.0,3.0,1.0,mixed_signed,low,225.0,0.75,TJ_rich,1500.0,2.0,100.0
LS059,combined_late_stage,0.94,0.02,high,300.0,3.0,1.0,mixed_signed,low,300.0,0.75,TJ_rich,1500.0,2.0,100.0
LS060,disabled,0.9,0.03,low,300.0,3.0,1.0,mixed_signed,low,50.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0
LS061,closed_pore_vacancy_transport,0.92,0.03,low,300.0,3.0,1.0,mixed_signed,low,75.0,0.65,mixed_GBseg_TJ,1300.0,2.0,100.0
LS062,gas_limited_closed_pore,0.94,0.03,low,300.0,3.0,1.0,mixed_signed,low,100.0,0.7,mixed_GBseg_TJ,1300.0,2.0,100.0
LS063,pore_detachment_and_closure,0.9,0.01,low,400.0,3.0,1.0,mixed_signed,low,150.0,0.7,mixed_GBseg_TJ,1300.0,8.0,100.0
