figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,rho,reference_path,comparison_path,G_ref_nm,G_fast_nm,R_fast,reduction_fast,ratio_threshold_1p2,ratio_threshold_1p5,ratio_threshold_2p0,both_paths_attained,material_id,property_id,schedule_id,ablation,reference_rate_C_min,fast_rate_C_min,peak_T_C,hold_time_h
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7120000000000001,1 C/min,20 C/min,331.94058217895736,211.0073767401735,1.573123116864755,0.3643218453282876,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7130000000000001,1 C/min,20 C/min,342.5960613140778,217.81928393249123,1.5728454117049557,0.36420960854887474,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7140000000000001,1 C/min,20 C/min,352.7693118162608,224.33418918876416,1.5725169359692472,0.3640768012564308,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7150000000000001,1 C/min,20 C/min,362.51607342462245,230.58571983473706,1.5721531831391862,0.3639296661898703,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7160000000000001,1 C/min,20 C/min,371.8903379347572,236.6056656414677,1.5717727507771877,0.36377571152984145,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7170000000000001,1 C/min,20 C/min,380.92377368515207,242.41197147746533,1.571390106534251,0.363620786562332,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7180000000000001,1 C/min,20 C/min,389.6560820147321,248.03074227702936,1.5709991367905483,0.3634624128165107,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7190000000000001,1 C/min,20 C/min,398.1036026213507,253.47056142999884,1.5706108053549852,0.36330502974351897,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7200000000000001,1 C/min,20 C/min,406.2961894994773,258.75062110703055,1.5702230501368166,0.3631478025285211,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7210000000000001,1 C/min,20 C/min,414.2547328288195,263.88410979273993,1.5698358387482436,0.3629907183177953,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7220000000000001,1 C/min,20 C/min,421.9952973248813,268.8803655887218,1.5694537472117371,0.3628356351523059,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7230000000000001,1 C/min,20 C/min,429.53456091896413,273.7495841532584,1.5690784051693378,0.36268321792875724,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7240000000000001,1 C/min,20 C/min,436.8872897136898,278.5009110645159,1.56871045069035,0.3625337298161524,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7250000000000001,1 C/min,20 C/min,444.06662835462276,283.1425061151559,1.5683502786191275,0.362387335512535,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7260000000000001,1 C/min,20 C/min,451.0843363855791,287.6816845285144,1.5679981057009855,0.3622441274870404,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7270000000000001,1 C/min,20 C/min,457.9509823453959,292.12503333796707,1.5676540182558762,0.36210414520381906,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7280000000000001,1 C/min,20 C/min,464.67610445942705,296.47850805281485,1.567318007336469,0.3619673893114904,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7290000000000001,1 C/min,20 C/min,471.26834467141344,300.74751353202953,1.5669899948191042,0.36183383218382226,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7300000000000001,1 C/min,20 C/min,477.73556121152467,304.9369720990432,1.566669852865059,0.3617034257911821,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7310000000000001,1 C/min,20 C/min,484.084923742973,309.05138126666634,1.5663574184943643,0.3615761076030566,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7320000000000001,1 C/min,20 C/min,490.3229942614744,313.09486293928614,1.5660525045297709,0.36145180502727525,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7330000000000001,1 C/min,20 C/min,496.455796261693,317.07120557624717,1.5657549078271904,0.3613304387544872,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7340000000000001,1 C/min,20 C/min,502.48887417793895,320.9839005049719,1.5654644154657706,0.36121192527875423,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7350000000000001,1 C/min,20 C/min,508.4273447137357,324.83617334275584,1.5651808093960669,0.3610961787949246,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7360000000000001,1 C/min,20 C/min,514.2759413680969,328.6310113061867,1.5649038699179374,0.3609831126224773,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7370000000000001,1 C/min,20 C/min,520.0390532248679,332.3711870449966,1.564633378267126,0.3608726402682735,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7380000000000001,1 C/min,20 C/min,525.7207588798955,336.05927952409087,1.5643691185209736,0.3607646762130884,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7390000000000001,1 C/min,20 C/min,531.324856227835,339.69769238691043,1.5641108789831406,0.360659136486462,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7400000000000001,1 C/min,20 C/min,536.8548887074039,343.2886701603383,1.5638584531690414,0.36055593907902894,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7410000000000001,1 C/min,20 C/min,542.3141685044594,346.83431260214064,1.5636116404854008,0.36045500423010124,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7420000000000001,1 C/min,20 C/min,547.7057971313468,350.3365874437246,1.5633702466754948,0.36035625461946774,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7430000000000001,1 C/min,20 C/min,553.0326837348252,353.7973417413914,1.5631340840855303,0.3602596154858826,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7440000000000001,1 C/min,20 C/min,558.2975614304191,357.2183120167093,1.5629029717947496,0.36016501468951945,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
Figure 3,ablations,,exact,fast_firing_material,results/1_Backup_of_prior_runs.zip:visual_inspection_candidate_plots_v2/histories/dense_fast_histories.csv,frozen dense fast-firing ablations,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,"Includes full, PR-off, nucleation-facile, and diagnostic transport/exchange controls where archived.",0.7450000000000001,1 C/min,20 C/min,563.503001916143,360.60113333961846,1.562676735642506,0.360072382731901,True,True,False,True,E0021,BASE,E0021_full_1_vs_20,full,1.0,20.0,1500.0,0.25
